name,price
"Acer Laptop Aspire 7  | AMD Ryzen 5 5500U | 16GB RAM | 512GB SSD | GTX 1650 4GB | 15.6"" FHD IPS","Rs. 82,664"
Dell Vostro 3400 I3-11Th Gen 4GB-1TB HDD 14' Display,"Rs. 46,999"
ACER NITRO 5 11 Generation I5 Processor/ 8GB RAM / 512 GB SSD / NVDIA GTX 1650 4 GB - OTE Nepal,"Rs. 115,000"
"HP Omen 16 / i7 11800H / RTX 3060 / 16GB RAM / 512GB SSD / 16.1"" QHD 165Hz","Rs. 210,000"
"MSI GF65 / i5 10th Gen / RTX 3060 / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz","Rs. 118,890"
Inspiron 15 5510 - i5-11320H | 8GB RAM | 512GB SSD | NVIDIA® GeForce® MX450 2GB GDDR5,"Rs. 115,000"
Lenovo Legion 5 PRO / Ryzen 7 5800H / RTX 3070 / 16GB RAM / 512GB SSD /16'' 165Hz,"Rs. 226,490"
"Lenovo Ideapad 1 15lGL7 11thGen Intel Celeron N4120 4GB DDR4 RAM 128GB SSD 15.6""' Display Windows 11 Genuine Abyss Blue Laptop","Rs. 34,900"
"CHUWI FreeBook 360° Flip 2-in-1 Convertible 13.5'' Touch Intel 11th Gen. Celeron N5100 CPU Upto2.8GHz Intel UHD Graphic 12GB DDR4, 512GB SSD Win.11 With Bag + Free Gift","Rs. 69,399"
Lenovo IdeaPad 1 i5 12th Gen 8GB RAM 256GB SSD 15.6″ FHD Laptop,"Rs. 67,540"
"Asus X543ma Intel Celeron 4Gb Ram 256Gb SSD 15.6"" Display","Rs. 32,500"
"Dell lnspirion 15 G5 / i5 11400H / RTX 3050 4GB / 8GB RAM / 256GB SSD / 15.6"" 120Hz Display","Rs. 124,000"
"HP Victus 15 FA0031DX / i5 12th Gen 12450H / 8GB RAM / 512 SSD / GTX 1650 4GB / 15.6"" FHD Display","Rs. 98,000"
"ASUS TUF Gaming A15  FA506IC / Ryzen 7 4800H / RTX 3050 4GB / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz Display","Rs. 158,000"
"Acer Aspire 3 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display","Rs. 55,490"
"Acer Aspire 5 / Ryzen7 5700U / 8GB RAM/512GB SSD /  15.6"" FHD / Win 11","Rs. 81,990"
HP 14S-FQ1052AU AMD Ryzen 3 5300U 4GB 256GB SSD 14 FHD Display,"Rs. 51,899"
Dell Inspiron 3511 i3  11th Gen  8GB RAM  256 GB SSD  15.6” FHD,"Rs. 55,000"
"HP Victus i5 13th Gen | 8GB RAM | 512GB SSD | RTX 3050 6GB | 15.6"" FHD 144Hz Laptop","Rs. 114,999"
Laptop Acer Aspire 5 i5/11Gen/8GB/256GB 15.6 inch,"Rs. 69,999"
"HP Envy 13-BA1047/ Core i5 11th gen/8GB/256GB/13.3""FHD/Backlit Keyboard/Windows 10","Rs. 94,999"
"Dell Vostro 3400 i3 11 gen, 8 GB RAM, 256 GB RAM","Rs. 47,000"
Dell Vostro 3400 Intel Core i5 11Th Gen 8GB Ram 256GB SSD 1TB HDD 2GB Nvidia MX330 Graphics 14.0Inch,"Rs. 70,000"
Lenovo Ideapad 1 Intel Celeron Processor 4 GB RAM 128 GB SSD 14 inch Display - OTE,"Rs. 65,000"
"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD","Rs. 143,900"
Newly lunched-Lenovo Yoga 6 13ALC6 Touch Screen 360 Degree Rotate 5500U 2.1G 8GB RAM 256GB SSD 13.3″ HD,"Rs. 109,990"
